Provider,Service,Sector,Quantity,Price,Date
Facebook,Database,,16,51.25,2015-09-22
Microsoft,Database,Private,,,2014-04-05
Oracle,Storage,NGO,3,,2007-08-11
Google,Database,NGO,0,,2001-07-18
IBM,Authentication,,31,,2013-06-04
Amazon,Processor,Private,18,74,2008-07-11
Google,Database,Private,,,2011-04-07
Cisco,Containers,Public,9,,2009-05-01
Facebook,Data Science,Private,,52,2007-06-05
Microsoft,Authentication,Private,35,67.25,2012-05-01
IBM,Containers,NGO,,79.75,2010-05-09
Cisco,Data Science,NGO,,,2015-06-14
IBM,Storage,NGO,1,,2004-04-12
Amazon,Storage,NGO,,75.5,2006-06-16
IBM,Database,Public,36,54,2008-05-24
Facebook,Containers,,9,57,2016-05-02
Oracle,Compute,NGO,,68,2016-02-01
Microsoft,Containers,Public,2,,2000-06-19
Facebook,Storage,Private,,52.75,2010-07-12
Oracle,Compute,,,,2014-07-08
Oracle,Data Science,,,,2016-10-18
Amazon,Processor,NGO,,,2012-08-17
Amazon,Data Science,,,,2017-08-17
IBM,Storage,,,,2017-06-13
Google,Processor,NGO,,,2007-06-15
Oracle,Processor,Public,,77.5,2010-05-26
Microsoft,Compute,,28,67.75,2004-07-20
Cisco,Compute,,,71.5,2010-05-23
Oracle,Storage,Private,,,2006-03-10
Oracle,Compute,,28,62,2008-02-16
Cisco,Authentication,Public,0,75,2002-10-12
Microsoft,Data Science,Private,30,67,2001-04-10
Oracle,Storage,Public,,,2010-06-19
IBM,Database,,23,58.25,2002-04-25
Amazon,Compute,NGO,42,72,2001-04-16
Amazon,Containers,NGO,33,52,2019-05-08
Cisco,Database,NGO,18,79.5,2011-08-24
Amazon,Containers,Private,,,2017-07-09
Amazon,Storage,Public,21,61.75,2019-05-06
Google,Database,NGO,15,,2012-06-07
Oracle,Authentication,Private,11,69.25,2013-08-21
Amazon,Containers,Public,42,63.5,2017-05-08
Oracle,Containers,NGO,43,,2018-04-18
Oracle,Storage,NGO,17,71.75,2012-05-04
IBM,Processor,Private,27,79,2006-05-10
Amazon,Compute,Public,,63.5,2010-07-05
IBM,Storage,NGO,,53.75,2015-07-20
Microsoft,Data Science,NGO,30,71.75,2009-05-25
Cisco,Authentication,Public,37,,2012-04-11
Amazon,Storage,,,,2013-07-04
Facebook,Database,,33,77.5,2017-04-07
Amazon,Compute,NGO,,,2012-06-03
IBM,Authentication,Public,,80,2001-06-01
Facebook,Storage,Private,1,,2009-06-14
Facebook,Containers,NGO,,64,2014-06-16
IBM,Containers,Private,,,2003-06-02
Google,Containers,,9,,2006-07-22
Google,Compute,NGO,,59.5,2002-04-16
Facebook,Data Science,Private,42,,2007-03-10
IBM,Compute,NGO,,,2003-04-10
Cisco,Processor,,,,2014-05-12
Oracle,Database,NGO,47,,2004-04-11
Amazon,Storage,NGO,21,71.75,2016-08-17
IBM,Processor,,,70.5,2012-05-10
Google,Compute,Public,,,2000-03-09
Google,Storage,NGO,,,2002-06-01
Cisco,Authentication,,40,71.75,2017-05-03
Amazon,Data Science,Public,22,,2009-03-12
Cisco,Compute,,12,,2003-05-23
Amazon,Data Science,NGO,0,,2008-06-05
Oracle,Containers,NGO,,,2016-10-08
Google,Storage,,,,2006-07-11
Amazon,Compute,Public,,,2004-04-25
Facebook,Data Science,NGO,29,59.75,2006-06-15
Oracle,Compute,Public,43,60.5,2002-06-05
Facebook,Containers,NGO,33,,2005-04-25
Oracle,Data Science,Private,,50.5,2005-08-26
Amazon,Database,Private,,69.25,2004-07-21
Google,Authentication,Private,33,79.5,2012-09-09
Google,Data Science,Public,,58.5,2011-07-05
Oracle,Storage,,,,2005-05-01
Google,Storage,NGO,,79.5,2013-05-12
Oracle,Containers,,,,2014-03-11
Google,Storage,,,,2004-02-13
Cisco,Containers,Public,,67.5,2000-08-14
Amazon,Database,,50,64.5,2001-06-24
Google,Containers,,,,2008-05-23
Microsoft,Data Science,NGO,,73.5,2012-09-05
Cisco,Storage,Public,22,,2008-08-14
IBM,Authentication,Public,,,2009-08-08
Amazon,Storage,,2,68.75,2001-02-17
Oracle,Storage,NGO,26,79.75,2016-04-13
Microsoft,Storage,Private,33,65.5,2007-08-20
IBM,Compute,Private,,65,2005-05-13
Amazon,Processor,Private,,,2017-03-26
Google,Database,Public,,,2006-06-11
Facebook,Containers,Private,,,2011-08-20
Google,Compute,Public,32,76.5,2012-08-15
Oracle,Storage,Private,3,,2019-09-04
Microsoft,Data Science,Public,,,2006-04-23
Cisco,Storage,Public,,56,2013-09-08
Oracle,Data Science,Private,3,,2008-02-20
IBM,Containers,,,50,2014-06-04
IBM,Database,NGO,,59.5,2011-06-10
Facebook,Storage,,38,74.75,2003-04-05
Amazon,Data Science,,,,2008-05-07
Google,Processor,NGO,5,75,2017-05-10
Facebook,Compute,NGO,20,,2003-07-03
IBM,Authentication,,24,63.75,2002-06-22
Oracle,Data Science,NGO,,60,2010-03-20
Oracle,Data Science,Public,21,,2001-07-06
Amazon,Authentication,Private,,,2011-05-26
Google,Authentication,Public,,50.25,2001-03-13
Microsoft,Processor,Private,5,,2005-08-26
IBM,Database,Public,,,2012-04-08
Cisco,Data Science,,,79,2016-07-26
Google,Containers,Private,3,61.75,2016-06-15
Amazon,Database,,1,76,2017-08-23
Cisco,Data Science,NGO,43,74,2016-07-08
Amazon,Containers,NGO,43,73.5,2019-03-03
Google,Database,NGO,11,68.25,2000-08-06
Microsoft,Containers,NGO,15,,2008-08-24
Oracle,Containers,Public,,,2001-05-22
Amazon,Processor,,,,2004-05-26
Amazon,Containers,Private,,71.5,2011-03-13
Cisco,Compute,NGO,,59.25,2003-08-12
Cisco,Containers,Public,,73,2007-06-02
Oracle,Processor,Public,,79.25,2013-03-11
Oracle,Containers,Private,33,,2010-03-15
IBM,Containers,Private,,,2001-05-08
Oracle,Processor,Public,,55.75,2015-05-24
Cisco,Authentication,NGO,41,51.25,2009-04-25
Oracle,Processor,Private,,67.75,2009-04-02
Cisco,Database,,50,,2009-04-18
Amazon,Database,Private,21,,2012-07-21
Microsoft,Compute,NGO,,64.5,2001-05-01
Amazon,Processor,NGO,43,52,2009-10-04
Microsoft,Processor,Private,,76.75,2010-04-06
Cisco,Database,Public,,,2014-08-19
Oracle,Compute,Private,34,66.75,2019-10-19
Amazon,Database,NGO,3,,2014-05-02
Oracle,Database,,29,57.75,2003-06-10
Amazon,Containers,Public,,55.25,2011-08-09
Amazon,Storage,Public,,52.25,2010-03-03
Amazon,Compute,Public,14,,2004-10-14
Oracle,Authentication,Public,37,50.25,2014-05-03
IBM,Authentication,Public,,,2006-04-21
Microsoft,Processor,Public,,,2014-07-08
Google,Storage,,,,2000-02-22
Microsoft,Storage,NGO,,,2019-06-20
Facebook,Compute,,,,2010-06-18
Google,Authentication,Public,18,,2017-11-07
Microsoft,Storage,Public,,55,2001-06-18
Oracle,Database,Public,,51.25,2016-07-10
Microsoft,Processor,NGO,,,2019-05-02
IBM,Processor,Public,,,2016-08-05
Google,Database,Public,,76.25,2018-09-01
Facebook,Compute,NGO,4,77,2004-06-20
Cisco,Database,NGO,,,2009-08-05
Microsoft,Storage,Private,11,51.25,2013-03-17
Facebook,Containers,NGO,,,2005-06-14
Amazon,Authentication,Public,0,61.5,2008-03-20
Microsoft,Data Science,NGO,1,70,2019-06-21
Microsoft,Database,Private,12,66,2008-11-09
IBM,Storage,NGO,11,56.5,2005-05-17
Amazon,Containers,Public,14,,2018-06-02
Facebook,Data Science,,,60.25,2011-06-19
Microsoft,Containers,,,,2001-06-13
Facebook,Authentication,Private,,55.5,2006-06-02
IBM,Processor,Public,,65.5,2007-08-09
IBM,Authentication,,4,76,2009-04-18
Amazon,Authentication,Public,21,,2001-07-17
Microsoft,Containers,,,58.25,2012-07-21
Oracle,Database,Private,,63,2015-09-25
Amazon,Compute,Public,,73.5,2000-04-01
